census_code,lgd_code,village_name,district,block_code,households,population,literates,cultivators,ag_labourers,hh_industry,other_workers
549593,549593,Bardipada,Nashik,193,123,513,247,154,5,0,19
549594,549594,Chinchale,Nashik,193,210,1495,1093,233,253,1,12
549595,549595,Chandrapur,Nashik,193,175,693,354,123,127,0,11
549596,549596,Hadkaichond,Nashik,193,143,572,332,191,75,0,10
549597,549597,Gondune,Nashik,193,66,282,147,151,10,0,3
549598,549598,Ranjune,Nashik,193,87,421,195,7,272,0,1
549599,549599,Kukudne,Nashik,193,276,1013,451,93,401,1,5
549600,549600,Deshmukh Nagar,Nashik,193,229,1234,785,471,92,3,14
549601,549601,Songir,Nashik,193,79,324,169,89,141,1,2
549602,549602,Udmal,Nashik,193,113,491,259,0,21,0,3
549603,549603,Deogaon,Nashik,193,132,557,311,94,227,0,0
549604,549604,Pangarne,Nashik,193,158,627,394,123,33,0,23
549605,549605,Wangan,Nashik,193,176,733,383,158,271,0,1
549606,549606,Pimpalsond,Nashik,193,236,884,448,323,265,0,8
549607,549607,Malgonde,Nashik,193,96,761,492,8,243,2,5
549608,549608,Khuntavihir,Nashik,193,187,579,366,326,71,3,13
549609,549609,Mohapada,Nashik,193,67,324,169,7,217,1,1
549610,549610,Ranvihir,Nashik,193,79,305,142,13,182,0,2
549611,549611,Galbari,Nashik,193,143,530,258,121,91,0,4
549612,549612,Karanjul(kelwan),Nashik,193,266,1307,900,190,451,0,9
549613,549613,Chinchpada,Nashik,193,106,691,504,39,193,0,27
549614,549614,Sundarban,Nashik,193,158,714,386,197,252,0,1
549615,549615,Raghatvihir,Nashik,193,261,1149,584,51,378,0,8
549616,549616,Fanaspada,Nashik,193,157,655,390,193,77,0,23
549617,549617,Mandha,Nashik,193,346,1431,611,441,294,0,21
549618,549618,Guhijambhulpada,Nashik,193,251,982,578,560,34,5,17
549619,549619,Rasha,Nashik,193,206,753,377,326,164,3,11
549620,549620,Borchond,Nashik,193,159,738,322,14,416,0,5
549621,549621,Nimbarpada,Nashik,193,184,697,356,12,423,3,13
549622,549622,Umbarthan,Nashik,193,631,3154,2059,829,473,11,158
549623,549623,Subhashnagar,Nashik,193,216,939,580,55,388,0,17
549624,549624,Dolhare,Nashik,193,193,1070,759,292,122,1,10
549625,549625,Amzar,Nashik,193,99,382,219,59,162,1,3
549626,549626,Satkhamb,Nashik,193,148,605,399,123,321,1,24
549627,549627,Ambatha,Nashik,193,266,1568,1058,174,458,0,16
549628,549628,Kothule,Nashik,193,297,1204,625,56,631,2,12
549629,549629,Krishnanagar,Nashik,193,75,399,205,71,147,0,5
549630,549630,Gopalnagar,Nashik,193,149,595,313,111,12,0,10
549631,549631,Kathipada,Nashik,193,744,2998,1761,409,946,3,68
549632,549632,Dodichapada,Nashik,193,180,770,499,6,31,0,13
549633,549633,Torandongri,Nashik,193,269,1093,572,279,12,0,1
549634,549634,Baflun,Nashik,193,191,845,378,387,98,0,5
549635,549635,Mhaiskhadak,Nashik,193,194,895,479,289,286,0,5
549636,549636,Udaldari,Nashik,193,189,876,248,30,508,0,10
549637,549637,Karanjul Surgana,Nashik,193,255,894,473,156,465,0,7
549638,549638,Vijaynagar,Nashik,193,76,299,152,11,162,1,4
549639,549639,Shrirampur,Nashik,193,154,935,647,93,172,0,8
549640,549640,Devaldari,Nashik,193,131,632,434,195,36,0,5
549641,549641,Walutzira,Nashik,193,173,609,366,88,287,0,3
549642,549642,Bhavandagad,Nashik,193,167,680,409,267,154,0,8
549643,549643,Bhadar,Nashik,193,367,1905,1074,565,353,0,8
549644,549644,Nawapur,Nashik,193,66,257,140,131,25,0,1
549645,549645,Umbarpada,Nashik,193,99,589,427,84,69,1,22
549646,549646,Bhormal,Nashik,193,479,2232,1346,409,480,2,35
549647,549647,Umbarvihir,Nashik,193,122,522,294,131,125,0,9
549648,549648,Palvihir,Nashik,193,126,663,370,32,278,0,6
549649,549649,Khokari,Nashik,193,317,1280,729,229,215,1,11
549650,549650,Jamunmatha,Nashik,193,78,330,193,46,114,0,7
549651,549651,Wadpada,Nashik,193,64,264,170,132,16,0,1
549652,549652,Karanjali,Nashik,193,218,1054,686,130,279,1,80
549653,549653,Talpada,Nashik,193,212,862,413,326,148,0,12
549654,549654,Karwande,Nashik,193,144,711,454,317,4,0,2
549655,549655,Durgapur,Nashik,193,141,619,367,106,245,0,2
549656,549656,Chinchpada,Nashik,193,95,391,221,150,12,1,1
549657,549657,Ladgaon,Nashik,193,143,720,340,71,299,3,6
549658,549658,Bubli,Nashik,193,223,1357,969,329,175,4,48
549659,549659,Umaremal,Nashik,193,137,719,467,318,39,6,12
549660,549660,Malgavhan,Nashik,193,279,1179,775,248,143,2,14
549661,549661,Udaypur,Nashik,193,226,1074,562,270,187,0,4
549662,549662,Garmal,Nashik,193,262,1136,699,312,199,0,10
549663,549663,Suryagad,Nashik,193,139,750,361,135,49,2,13
549664,549664,Pratapgad,Nashik,193,249,925,557,255,303,0,23
549665,549665,Alangun,Nashik,193,389,2632,1901,349,371,2,95
549666,549666,Hatrundi,Nashik,193,425,1698,928,690,327,1,9
549667,549667,Patali,Nashik,193,55,246,101,152,6,0,2
549668,549668,Payarpada,Nashik,193,108,494,227,230,41,0,6
549669,549669,Umbarde,Nashik,193,42,170,86,16,71,0,5
549670,549670,Ganeshnagar,Nashik,193,146,640,356,366,1,0,3
549671,549671,Hanumantmal,Nashik,193,283,1149,628,223,543,0,1
549672,549672,Ahmadgavhan,Nashik,193,177,875,539,416,100,0,8
549673,549673,Bival,Nashik,193,321,1192,714,155,243,1,7
549674,549674,Vadmal,Nashik,193,108,451,225,295,7,0,1
549675,549675,Mani,Nashik,193,231,1468,1068,319,240,1,32
