village_lgd,census_code,village_name,status,match_score,candidate_osm_id,candidate_names
526633,526633,Morchida,below_threshold,75.0,11384344208,Morjhira
526634,526634,Amalwadi,below_threshold,87.5,9840655102,Malwandi
526635,526635,Umarti,below_threshold,72.72727272727273,9828534195,Umali
526636,526636,Satrasen,below_threshold,66.66666666666667,1201392999,Satarne
526637,526637,Maratha,below_threshold,71.42857142857143,3205097760,Ranthan
526638,526638,Shikawal,below_threshold,75.0,1210376113,Chinawal
526639,526639,Lasur,ambiguous_candidates,90.9090909090909,9828534134,Lasura
526640,526640,Chaugaon,below_threshold,87.5,9863980028,Chamgaon
526641,526641,Karjane,below_threshold,80.0,9953367102,Karjgaon
526643,526643,Krishnapur,place_assigned_to_multiple_villages,95.23809523809523,9870870377,Krishnapuri
526644,526644,Chunchale,ambiguous_candidates,100.0,1192647539,Chunchale
526646,526646,Majare Hingone,below_threshold,88.88888888888889,1192676929,Mauje Hingone
526647,526647,Ganpur,ambiguous_candidates,100.0,1194999054,Ganpur
526652,526652,Ghodgaon,ambiguous_candidates,100.0,1193812742,Ghodgaon
526654,526654,Kharya Padawa,below_threshold,60.86956521739131,9862670095,Khokar Pat
526655,526655,Vaijapur,below_threshold,85.71428571428572,3203753614,Vaipur
526656,526656,Mulyautar,below_threshold,62.5,9868915569,Lohatar
526657,526657,Vaijapur (Shenpani),below_threshold,56.00000000000001,1193812739,Shendani
526658,526658,Karjane,below_threshold,80.0,9953367102,Karjgaon
526660,526660,Devhari,ambiguous_candidates,100.0,9864158708,Devhari
526661,526661,Deozari,below_threshold,72.72727272727273,9868915793,Ozar
526662,526662,Bormali,below_threshold,76.92307692307692,3185382863,Borale
526663,526663,Malapur,ambiguous_candidates,93.33333333333333,9953420654,Malkapur
526664,526664,Virwade,below_threshold,72.72727272727273,9870537348,Wade
526668,526668,Kharag,below_threshold,76.92307692307692,9870870193,Kharjai
526670,526670,Borkhede,ambiguous_candidates,93.33333333333333,9840655088,Borkhed
526672,526672,Rukhankhede Pr.chopda,below_threshold,73.6842105263158,1194992073,Dhanore Pr. Chopda
526673,526673,Machale,below_threshold,76.92307692307692,3184386473,Machla
526674,526674,Tawase Kh.,below_threshold,84.21052631578947,9863574980,Tarwade Kh
526675,526675,Mangrul,ambiguous_candidates,100.0,3184341042,Mangrul
526676,526676,Varad,below_threshold,83.33333333333334,3203812812,Varzadi
526677,526677,Nagalwadi,below_threshold,84.21052631578947,9861085935,Mangalwadi
526678,526678,Ajanti Kh.,below_threshold,77.77777777777779,9965630654,Damani Kh
526679,526679,Bor Ajanti,below_threshold,70.58823529411764,2845383884,Ranjani
526680,526680,Adgaon,ambiguous_candidates,100.0,3184576168,Adgaon
526681,526681,Narwade,below_threshold,85.71428571428572,3184576169,Narvade
526685,526685,Akhatwade,place_assigned_to_multiple_villages,100.0,9868915552,Akhatwade
526690,526690,Dagadi Bk,below_threshold,84.21052631578947,3204688683,Vaghadi Bk
526691,526691,Anwarde Bk.,below_threshold,82.35294117647058,1193812743,Anwarde
526693,526693,Vitner,ambiguous_candidates,100.0,1193812749,Vitner
526696,526696,Malkhede,below_threshold,87.5,9862667892,Nalkhede
526698,526698,Anwarde Kh.,below_threshold,86.95652173913044,1193797840,Anwarde Khurd
526699,526699,Hatede Kh.,below_threshold,88.88888888888889,9840655115,Hatedi Kh
526700,526700,Galwade,below_threshold,85.71428571428572,3204688682,Talwade
526701,526701,Hatede Bk.,below_threshold,88.88888888888889,9840655114,Hatedi Bk
526704,526704,Vichakhede,ambiguous_candidates,100.0,1193797896,Vichakhede
526706,526706,Dhupe Bk.,below_threshold,87.5,9862479323,Dhupe Kh
526709,526709,Tandalwadi,ambiguous_candidates,100.0,1193792338,Tandalwadi
526711,526711,Khachane,ambiguous_candidates,94.11764705882352,9868520277,Kharchane
526712,526712,Tawase Bk.,below_threshold,84.21052631578947,9870870222,Tarwade Bk
526714,526714,Dhanwadi,ambiguous_candidates,93.33333333333333,9864158707,Dhanwad
526716,526716,Khadgaon,ambiguous_candidates,100.0,3184341040,Khadgaon
526717,526717,Gorgawale Bk.,place_assigned_to_multiple_villages,100.0,3184950637,Gorgawale Bk.
526718,526718,Vadgaon Seem,below_threshold,78.26086956521739,9868915584,Vadgaon Tek
526721,526721,Kathore,below_threshold,85.71428571428572,3184341039,Kadhore
526722,526722,Vadgaon Kh.,below_threshold,85.71428571428572,9868915584,Vadgaon Tek
526723,526723,Gorgawale Kh.,place_assigned_to_multiple_villages,91.66666666666666,3184950637,Gorgawale Bk.
526724,526724,Bhokari,ambiguous_candidates,100.0,9854792718,Bhokari
526725,526725,Khedi Bk.,place_assigned_to_multiple_villages,100.0,9864478775,Khedi Bk
526728,526728,Vadgaon Bk.,ambiguous_candidates,90.0,9868520370,Wadgaon Bk
526729,526729,Adwad,below_threshold,76.92307692307692,3204688568,Padhawad
526730,526730,Loni,ambiguous_candidates,100.0,3184731157,Loni
526732,526732,Ichhapur,ambiguous_candidates,100.0,9854792583,Ichhapur
526733,526733,Badhawani,below_threshold,77.77777777777779,9963792022,Adharwadi
526734,526734,Badhai,below_threshold,80.0,3188606742,Adha
526739,526739,Vargavhan,below_threshold,88.88888888888889,3184742884,Varghavan
526740,526740,Panchak,below_threshold,71.42857142857143,9833810295,Panhera
526741,526741,Dhanore Pr.Adavad,below_threshold,76.47058823529412,1194992073,Dhanore Pr. Chopda
526742,526742,Deogaon,ambiguous_candidates,100.0,9862479327,Deogaon
526745,526745,Rukhankheda Pr.Adwat,below_threshold,61.111111111111114,9965630672,Umbarkheda Tanda
526747,526747,Kamalgaon,ambiguous_candidates,100.0,3184869103,Kamalgaon
526748,526748,Pimpri,ambiguous_candidates,100.0,3184869109,Pimpri
526749,526749,Mitawali,below_threshold,87.5,3184869108,Mitavali
526750,526750,Pungaon,ambiguous_candidates,100.0,3184869110,Pungaon
526751,526751,Ghumawal Kh.,below_threshold,81.81818181818181,3184386469,Ghumaval BK
526752,526752,Langda Amba,below_threshold,63.63636363636363,9964505196,Nanda Tanda
526753,526753,Usmali,ambiguous_candidates,90.9090909090909,9828534195,Umali
526754,526754,Gadrya,below_threshold,66.66666666666667,1195040574,Gadtar
526755,526755,Jamnya,below_threshold,66.66666666666667,926750664,Adžanta | Ajanta | пещеры
526756,526756,Vaghazira,below_threshold,88.88888888888889,3186727360,Jaghazira
526757,526757,Manapur,ambiguous_candidates,92.3076923076923,9864478757,Manpur
526758,526758,Khalkot,below_threshold,71.42857142857143,11384344195,Kharkod
526759,526759,Tolane,below_threshold,76.92307692307692,1201452876,Bholane
526761,526761,Adgaon,ambiguous_candidates,100.0,3184576168,Adgaon
526762,526762,Kasarkhede,below_threshold,84.21052631578947,3205113005,Dasarkhed
526764,526764,Naigaon,ambiguous_candidates,92.3076923076923,9863608118,Nagaon
526765,526765,Kingaon Bk,below_threshold,84.21052631578947,9862670050,Nagaon Bk
526766,526766,Kingaon Kh,below_threshold,82.35294117647058,2915760437,Kingaon
526767,526767,Chincholi,ambiguous_candidates,100.0,3185382864,Chincholi
526768,526768,Unthawad,below_threshold,80.0,3186337138,Untavad
526770,526770,Giradgaon,ambiguous_candidates,94.11764705882352,9861707956,Giragaon
526771,526771,Dambhurni,ambiguous_candidates,100.0,3186337067,Dambhurni
526772,526772,Nhavi P Adawad,below_threshold,69.23076923076923,9964433499,Nahavi tanda
526773,526773,Shiragad,below_threshold,77.77777777777779,9870870158,Shirasgaon
526774,526774,Pathrale,below_threshold,80.0,9870537394,Pathrad
526775,526775,Ambapani,below_threshold,71.42857142857143,3014528613,Ambala
526778,526778,Savkhedesim,below_threshold,86.95652173913044,3186337136,Savkheda Sim
526779,526779,Dahigaon,ambiguous_candidates,100.0,9833606743,Dahigaon
526780,526780,Korpawli,below_threshold,75.0,3186337071,Korbavli
526781,526781,Mahelkhedi,below_threshold,77.77777777777779,9868565975,Malkheda
526782,526782,Navare,place_assigned_to_multiple_villages,90.9090909090909,3186337072,Navre
526784,526784,Chunchale,ambiguous_candidates,100.0,1192647539,Chunchale
526785,526785,Waghode,below_threshold,85.71428571428572,3204688685,Vaghode
526786,526786,Sakali,ambiguous_candidates,90.9090909090909,3186337133,Sakli
526787,526787,Vadhode Pr Yawal,below_threshold,62.5,9863574992,Shevage Pr. Bahal
526788,526788,Viravali  Bk,below_threshold,84.21052631578947,3186337141,Viravali
526791,526791,Manwel,below_threshold,76.92307692307692,9861085940,Kandwel
526792,526792,Pilode Kh,below_threshold,80.0,1192384116,Pilode
526793,526793,Thorgavhan,place_assigned_to_multiple_villages,100.0,3186730977,Thorgavhan
526794,526794,Vadri Kh,below_threshold,80.0,9953420619,Wadi Kh
526797,526797,Satod Pr Yawal,below_threshold,66.66666666666667,1212822253,Atrawal
526798,526798,Chitode,below_threshold,85.71428571428572,3186337142,Chitoda
526800,526800,Yawal (rural),below_threshold,58.82352941176471,1201393214,Nawara
526801,526801,Pimpri,ambiguous_candidates,100.0,3184869109,Pimpri
526803,526803,Borawal Kh,below_threshold,80.0,3186337062,Boraval Bk
526804,526804,Tembhi Kh,below_threshold,80.0,9833606725,Tembhi
526807,526807,Chikholi Bk,ambiguous_candidates,90.9090909090909,9860913797,Chikhali Bk
526808,526808,Mhaiswadi,ambiguous_candidates,100.0,1212824342,Mhaiswadi
526809,526809,Rojore,below_threshold,83.33333333333334,1210102967,Rajore
526810,526810,Nimgaon,ambiguous_candidates,100.0,1210097258,Nimgaon
526812,526812,Takarkhede,ambiguous_candidates,100.0,9862670021,Takarkhede
526815,526815,Pilode Bk,below_threshold,80.0,1192384116,Pilode
526816,526816,Ruikhede,ambiguous_candidates,100.0,9854782685,Ruikhede
526817,526817,Charmali,below_threshold,77.77777777777779,9861117873,Andharmali
526818,526818,Dangarkuthora,below_threshold,63.63636363636363,9862688139,Dangar Bk
526819,526819,Bhorkhede  Kh,place_assigned_to_multiple_villages,95.65217391304348,9870870297,Borkhede Kh
526822,526822,Bhamnod,below_threshold,85.71428571428572,1190530726,Bamnode
526823,526823,Padalse,ambiguous_candidates,100.0,9862670160,Padalse
526825,526825,Karanji,ambiguous_candidates,100.0,9860937517,Karanji
526826,526826,Ridhori,below_threshold,85.71428571428572,9833810356,Ridhora
526827,526827,Kosgaon,ambiguous_candidates,100.0,3186684758,Kosgaon
526828,526828,Bhortek,place_assigned_to_multiple_villages,100.0,3188628101,Bhortek
526829,526829,Aklud,below_threshold,66.66666666666667,9836198035,Nalkund
526830,526830,Kathore Pr. Savada,below_threshold,61.111111111111114,9864478776,Kurhe Pr. Nashirabad
526831,526831,Kasve,below_threshold,80.0,3186684757,Kaswe
526832,526832,Duskhede,place_assigned_to_multiple_villages,100.0,9868915745,Duskhede
526835,526835,Borkhede Bk,ambiguous_candidates,90.9090909090909,9870870297,Borkhede Kh
526836,526836,Nhavi Pr. Yaval,below_threshold,63.63636363636363,3186337141,Viravali
526838,526838,Amode,ambiguous_candidates,100.0,9862670176,Amode
526839,526839,Faizpur (rural),below_threshold,57.14285714285714,1192675955,Kazipura
526840,526840,Pimprud,below_threshold,85.71428571428572,3203832620,Pimprad
526841,526841,Virode,below_threshold,83.33333333333334,3186689700,Virodo
526842,526842,Vadhode Pr. Sawada,below_threshold,60.0,9953367056,Wadhod tangda
526843,526843,Pimparkund,below_threshold,80.0,12619108262,Pimparkhed
526844,526844,Pal,below_threshold,75.0,3208104995,Padli
526845,526845,Gulabwadi,below_threshold,75.0,9861085962,Sulwadi
526846,526846,Morwhal,below_threshold,76.92307692307692,9863575016,Mortal
526847,526847,Jinsi,below_threshold,60.0,9864478771,Kinhi
526848,526848,Sahastraling,below_threshold,83.33333333333334,9836145456,Sahastramuli
526849,526849,Garkhede,place_assigned_to_multiple_villages,100.0,9863940500,Garkhede
526850,526850,Nimdya,below_threshold,76.92307692307692,1196534739,Nimdale
526852,526852,Garbardi,below_threshold,75.0,1205391579,Hambardi
526853,526853,Mohamandali (new),below_threshold,60.86956521739131,9854792717,Dhamande
526855,526855,Mohamandali (old),below_threshold,57.14285714285714,9862670147,Mandal
526856,526856,Lalmati,below_threshold,71.42857142857143,245691003,Jamathi
526857,526857,Ambhode Bk.,below_threshold,88.88888888888889,9863969526,Amode Bk
526858,526858,Ambhode Kh.,below_threshold,82.35294117647058,9863969421,Bhod Kh
526860,526860,Khirode Pr.raver,below_threshold,64.70588235294117,1201322503,Shirdane Pr. Dangri
526862,526862,Kusumbe Kh.,ambiguous_candidates,90.0,9861085979,Kusumba Kh
526863,526863,Kusumbe Bk.,ambiguous_candidates,90.0,1212832248,Kusumba Bk
526864,526864,Utkhede,below_threshold,85.71428571428572,1211594188,Utkheda
526865,526865,Bhatkhede,place_assigned_to_multiple_villages,100.0,9870343571,Bhatkhede
526866,526866,Raver (rural),below_threshold,62.5,1195108635,Raver
526867,526867,Bhor,below_threshold,80.0,3184393422,Bhokar
526868,526868,Nandurkhede,below_threshold,76.19047619047619,9863575003,Undirkhede
526870,526870,Pimpri,ambiguous_candidates,100.0,3184869109,Pimpri
526871,526871,Mohagan Bk.,below_threshold,85.71428571428572,9868520274,Moyagaon Bk
526872,526872,Padale Kh,below_threshold,77.77777777777779,9863969572,impale Kh
526873,526873,Padale Bk.,below_threshold,84.21052631578947,9872868221,Nandale Bk
526876,526876,Junone,ambiguous_candidates,100.0,9863940490,Junone
526877,526877,Kerhale Kh.,place_assigned_to_multiple_villages,90.0,9861008408,Kerhale Bk
526878,526878,Kerhale Bk.,place_assigned_to_multiple_villages,100.0,9861008408,Kerhale Bk
526881,526881,Chorwad,ambiguous_candidates,100.0,9863574972,Chorwad
526883,526883,Morgaon Bk.,ambiguous_candidates,90.0,9861008376,Morgaon Kh
526885,526885,Bhokari,ambiguous_candidates,100.0,9854792718,Bhokari
526886,526886,Tamaswadi,ambiguous_candidates,100.0,9861008405,Tamaswadi
526887,526887,Borkhede,ambiguous_candidates,93.33333333333333,9840655088,Borkhed
526894,526894,Patondi,ambiguous_candidates,100.0,9854792721,Patondi
526895,526895,Boharde,ambiguous_candidates,92.3076923076923,9862670161,Bohare
526897,526897,Dhurkhede,below_threshold,84.21052631578947,9864478759,Kahurkhede
526902,526902,Gaulkhede,ambiguous_candidates,100.0,1211593159,Gaulkhede
526904,526904,Savkhede Kh.,place_assigned_to_multiple_villages,100.0,9864182960,Savkhede Kh
526905,526905,Savkhede Bk.,place_assigned_to_multiple_villages,100.0,9864182936,Savkhede Bk
526906,526906,Khirode Pr. Yawal,below_threshold,60.86956521739131,1190553110,Khiroda
526907,526907,Kalmode,below_threshold,85.71428571428572,1194191570,Kalmoda
526908,526908,Rozode,below_threshold,83.33333333333334,1190549684,Rozoda
526910,526910,Wadgaon,ambiguous_candidates,100.0,3184742886,Wadgaon
526911,526911,Vivare Kh,below_threshold,85.71428571428572,4611590137,Vivare Khurd
526912,526912,Vivare Bk.,below_threshold,78.26086956521739,4611597288,Vivare Budrukh
526914,526914,Kochur Kh.,below_threshold,80.0,1190549242,Kochur
526915,526915,Borkhede Sim,below_threshold,78.26086956521739,9870870297,Borkhede Kh
526916,526916,Kochur Bk.,below_threshold,80.0,1190549242,Kochur
526919,526919,Singanur,below_threshold,71.42857142857143,1194999054,Ganpur
526920,526920,Andalwadi,ambiguous_candidates,100.0,9861085976,Andalwadi
526921,526921,Maskawad Kh.,below_threshold,73.6842105263158,3186730562,Maskavad
526922,526922,Maskawadsim,below_threshold,73.6842105263158,3186730562,Maskavad
526923,526923,Savda (rural),below_threshold,66.66666666666667,9868520410,Savarle
526925,526925,Maskawad Bk.,below_threshold,73.6842105263158,3186730562,Maskavad
526927,526927,Gate,below_threshold,75.0,2130357383,Gata
526928,526928,Thorgavhan,place_assigned_to_multiple_villages,100.0,3186730977,Thorgavhan
526929,526929,Chunwade,below_threshold,71.42857142857143,9872868220,Chande
526932,526932,Raipur,place_assigned_to_multiple_villages,100.0,9840655077,Raipur
526933,526933,Gahukhede,below_threshold,88.88888888888889,1211593159,Gaulkhede
526934,526934,Rangaon,ambiguous_candidates,100.0,3186730973,Rangaon
526935,526935,Taskhede,place_assigned_to_multiple_villages,100.0,9862670175,Taskhede
526936,526936,Udhali  Kh,below_threshold,88.88888888888889,9861008412,Udhali Bk
